NGÀY PICK,TÊN THÙNG,TÊN KHÁCH HÀNG,TÊN HÃNG,S? TRACKING,S? ORDER,S? S?N PH?M,GHI CHÚ 1,GHI CHÚ 2
4/21/2022,AH1,HUYENQUANG,GAP,JJD0002247144482611,,SEAL,,
4/21/2022,AH7,HUYENQUANG,GAP,JJD0002247144483583,,40,,
4/21/2022,AH11,HUYENQUANG,GAP,JJD0002247144486998,,SEAL,,
4/21/2022,AH11,HUYENQUANG,GAP,JJD0002247144485680,,SEAL,,
4/21/2022,AH18,HUYENQUANG,GAP,3716813175628820,,19,,
4/21/2022,AH1,KIEUANH,AMAZON,QB018519001,,SEAL,,
4/21/2022,AH14,KIEUANH,AMAZON,QB0185740384,,SEAL,,
4/21/2022,AH14,KIEUANH,AMAZON,QB018587295,,SEAL,,
4/21/2022,LX3,KIMTHANH,ADIDAS,15505354156918,,5,,
4/21/2022,LX8,KIMTHANH,ADIDAS,15505453156901,,1,1 VO,
4/21/2022,LX8,KIMTHANH,NIKE,H01WDA0009551292,,1,1 VO,
4/21/2022,LX8,KIMTHANH,NIKE,15503691468387,,SEAL,,
4/21/2022,LX8,KIMTHANH,NIKE,15503691398386,,2,2 VO,
4/21/2022,LX8,KIMTHANH,NIKE,H01WDA0009549259,,1, 1 VO,
4/21/2022,AH14,KIMTHANH,.,1ZA0A6016817665619,,1,,
4/21/2022,LX3,KLENHUE,HOLLAND,T00PWA0032376773,,SEAL,,LENKIM
4/21/2022,LX3,KLENHUE,HOLLAND,T00PWA0032384390,,30,KIEN HANG GIAO KO SEAL ,LENKIM
4/21/2022,LX4,KLENHUE,HOLLAND,T00PWA0032213628,,SEAL,,LENKIM
4/21/2022,AH1,LEKURA,AMAZON,A11262648543,,6,,
4/21/2022,AH11,LIENCAPI,GEORGE,JJD0002249599594285,,SEAL,,
4/21/2022,LX2,LIENHA,GEORGE,T00IKA0024469779,,SEAL,,
4/21/2022,LX8,LIENHA,GEORGE,JJD0002247287294108,,SEAL,,
4/21/2022,AH1,LIENHA,SPORTS,T0047A0097089039,,SEAL,,
4/21/2022,AH2,LIENHA,SPORT,T0047A0097096185,,24,,
4/21/2022,LX7,LINHLE,AMAZON,QB0179408362,,2,,
4/21/2022,LX7,LINHLE,AMAZON,QB0183937.............,,1,,
4/21/2022,LX1,LINXUAN,NEXT,T002VA0559156524,,SEAL,,
4/21/2022,LX1,LINXUAN,NEXT,T002VA0561524644,,SEAL,,
4/21/2022,LX1,LINXUAN,ADIDAS,15505453156291,,1,,
4/21/2022,LX1,LINXUAN,ADIDAS,PBZK2364428001,,2,,
4/21/2022,LX1,LINXUAN,ADIDAS,15505169146949,,3,1 VO,
4/21/2022,LX1,LINXUAN,ADIDAS,15505169145692,,3,1 VO,
4/21/2022,LX1,LINXUAN,ADIDAS,155051691469371,,7,2 VO,
4/21/2022,LX5,LINXUAN,NEXT,T002VA0561947234,,SEAL,,
4/21/2022,LX5,LINXUAN,NEXT,T002VA0561947222,,SEAL,,
4/21/2022,LX5,LINXUAN,NEXT,T002VA0559878106,,SEAL,,
4/21/2022,LX6,LINXUAN,NEXT,T002VA0561947210,,SEAL,,
4/21/2022,LX7,LINXUAN,NEXT,T002VA0557944701,,SEAL,,
4/21/2022,LX7,LINXUAN,NEXT,T002VA0562434707,,SEAL,,
4/21/2022,LX7,LINXUAN,NEXT,T002VA0563639942,,SEAL,,
4/21/2022,LX7,LINXUAN,NEXT,T002VA0563264098,,SEAL,,
4/21/2022,LX3,LOANTRAM,NEXT,T002VA0554480069,,SEAL,,
4/21/2022,AH15,LONGHUNG,.,C00HHA0199126633,,SEAL,,
4/21/2022,AH6,LUONGFINN,ADIDAS,15505453157171,,2,,
4/21/2022,LX1,MANTOTA,ADIDAS,15505453155414,,1,,
4/21/2022,LX1,MANTOTA,ADIDAS,15505453155637,,3,1 VO,
4/21/2022,LX1,MANTOTA,ADIDAS,155054531564323,,2,,
4/21/2022,LX2,MANTOTA,ADIDAS,15505169147790,,5,,
4/21/2022,LX2,MANTOTA,ASOS,15505682024552,,SEAL,,
